Source: http://www.hockey-reference.com/leagues/NHL_2014_games.html
Date,Visitor,G,Home,G,,Notes
2013-10-01,Washington Capitals,4,Chicago Blackhawks,6,,
2013-10-01,Winnipeg Jets,5,Edmonton Oilers,4,,
2013-10-01,Toronto Maple Leafs,4,Montreal Canadiens,3,,
2013-10-02,Anaheim Ducks,1,Colorado Avalanche,6,,
2013-10-02,Buffalo Sabres,1,Detroit Red Wings,2,,
2013-10-02,Toronto Maple Leafs,3,Philadelphia Flyers,1,,
2013-10-03,Tampa Bay Lightning,1,Boston Bruins,3,,
2013-10-03,Florida Panthers,4,Dallas Stars,2,,
2013-10-03,Los Angeles Kings,3,Minnesota Wild,2,SO,
2013-10-03,New York Rangers,1,Phoenix Coyotes,4,,
2013-10-03,New Jersey Devils,0,Pittsburgh Penguins,3,,
2013-10-03,Vancouver Canucks,1,San Jose Sharks,4,,
2013-10-03,Nashville Predators,2,St. Louis Blues,4,,
2013-10-03,Calgary Flames,4,Washington Capitals,5,SO,
2013-10-04,Ottawa Senators,1,Buffalo Sabres,0,,
2013-10-04,Detroit Red Wings,3,Carolina Hurricanes,2,OT,
2013-10-04,Calgary Flames,4,Columbus Blue Jackets,3,,
2013-10-04,Nashville Predators,1,Colorado Avalanche,3,,
2013-10-04,New York Islanders,4,New Jersey Devils,3,SO,
2013-10-04,Los Angeles Kings,3,Winnipeg Jets,5,,
2013-10-05,Detroit Red Wings,1,Boston Bruins,4,,
2013-10-05,Tampa Bay Lightning,3,Chicago Blackhawks,2,SO,
2013-10-05,Washington Capitals,1,Dallas Stars,2,,
2013-10-05,Anaheim Ducks,4,Minnesota Wild,3,OT,
2013-10-05,Philadelphia Flyers,1,Montreal Canadiens,4,,
2013-10-05,Columbus Blue Jackets,3,New York Islanders,2,SO,
2013-10-05,Buffalo Sabres,1,Pittsburgh Penguins,4,,
2013-10-05,Phoenix Coyotes,1,San Jose Sharks,4,,
2013-10-05,Florida Panthers,0,St. Louis Blues,7,,
2013-10-05,Ottawa Senators,4,Toronto Maple Leafs,5,SO,
2013-10-05,Edmonton Oilers,2,Vancouver Canucks,6,,
