Source:  http://www.basketball-reference.com/leagues/NBA_2014_games.html
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Nov 2 2013,Box Score,Cleveland Cavaliers,74,Indiana Pacers,89,,
Tue Nov 5 2013,Box Score,Indiana Pacers,99,Detroit Pistons,91,,
Wed Nov 6 2013,Box Score,Chicago Bulls,80,Indiana Pacers,97,,
Wed Nov 6 2013,Box Score,Cleveland Cavaliers,104,Milwaukee Bucks,109,,
Mon Nov 11 2013,Box Score,Cleveland Cavaliers,81,Chicago Bulls,96,,
Fri Nov 15 2013,Box Score,Milwaukee Bucks,77,Indiana Pacers,104,,
Sat Nov 16 2013,Box Score,Indiana Pacers,94,Chicago Bulls,110,,
Mon Nov 25 2013,Box Score,Milwaukee Bucks,94,Detroit Pistons,113,,
Wed Nov 27 2013,Box Score,Chicago Bulls,99,Detroit Pistons,79,,
Sat Nov 30 2013,Box Score,Chicago Bulls,93,Cleveland Cavaliers,97,,
Wed Dec 4 2013,Box Score,Detroit Pistons,105,Milwaukee Bucks,98,,
Sat Dec 7 2013,Box Score,Detroit Pistons,92,Chicago Bulls,75,,
Tue Dec 10 2013,Box Score,Milwaukee Bucks,78,Chicago Bulls,74,,
Fri Dec 13 2013,Box Score,Chicago Bulls,91,Milwaukee Bucks,90,,
Mon Dec 16 2013,Box Score,Detroit Pistons,101,Indiana Pacers,96,,
Fri Dec 20 2013,Box Score,Milwaukee Bucks,111,Cleveland Cavaliers,114,OT,
Sat Dec 21 2013,Box Score,Cleveland Cavaliers,84,Chicago Bulls,100,,
Mon Dec 23 2013,Box Score,Detroit Pistons,115,Cleveland Cavaliers,92,,
Tue Dec 31 2013,Box Score,Cleveland Cavaliers,76,Indiana Pacers,91,,
Sun Jan 5 2014,Box Score,Indiana Pacers,82,Cleveland Cavaliers,78,,
Fri Jan 10 2014,Box Score,Chicago Bulls,81,Milwaukee Bucks,72,,
Wed Jan 22 2014,Box Score,Chicago Bulls,98,Cleveland Cavaliers,87,,
Wed Jan 22 2014,Box Score,Detroit Pistons,101,Milwaukee Bucks,104,,
Fri Jan 24 2014,Box Score,Milwaukee Bucks,78,Cleveland Cavaliers,93,,
Wed Feb 12 2014,Box Score,Cleveland Cavaliers,93,Detroit Pistons,89,,
Sat Feb 22 2014,Box Score,Indiana Pacers,110,Milwaukee Bucks,100,,
Thu Feb 27 2014,Box Score,Milwaukee Bucks,96,Indiana Pacers,101,,
Wed Mar 5 2014,Box Score,Chicago Bulls,105,Detroit Pistons,94,,
Sat Mar 15 2014,Box Score,Indiana Pacers,112,Detroit Pistons,104,OT,
Fri Mar 21 2014,Box Score,Chicago Bulls,79,Indiana Pacers,91,,
Mon Mar 24 2014,Box Score,Indiana Pacers,77,Chicago Bulls,89,,
Wed Mar 26 2014,Box Score,Cleveland Cavaliers,97,Detroit Pistons,96,,
Sun Mar 30 2014,Box Score,Indiana Pacers,76,Cleveland Cavaliers,90,,
Mon Mar 31 2014,Box Score,Milwaukee Bucks,111,Detroit Pistons,116,,
Wed Apr 2 2014,Box Score,Detroit Pistons,94,Indiana Pacers,101,,
Fri Apr 4 2014,Box Score,Milwaukee Bucks,90,Chicago Bulls,102,,
Wed Apr 9 2014,Box Score,Detroit Pistons,100,Cleveland Cavaliers,122,,
Wed Apr 9 2014,Box Score,Indiana Pacers,104,Milwaukee Bucks,102,,
Fri Apr 11 2014,Box Score,Detroit Pistons,98,Chicago Bulls,106,,
Fri Apr 11 2014,Box Score,Cleveland Cavaliers,116,Milwaukee Bucks,119,,
